[26.277065277] 2022-12-23 16:14:01,643 - INFO - launcher: Starting sanity checks
[26.688337326] 2022-12-23 16:14:01,644 - INFO - launcher: Checking for Python 3.8+
[26.956796646] 2022-12-23 16:14:01,644 - INFO - launcher: Checking console encoding
[27.186393738] 2022-12-23 16:14:01,644 - INFO - launcher: Ensuring we're in the right environment
[351.263523102] 2022-12-23 16:14:01,968 - INFO - launcher: Required checks passed.
[351.754665375] 2022-12-23 16:14:01,969 - INFO - launcher: Optional checks passed.
[352.037429810] 2022-12-23 16:14:01,969 - INFO - launcher: Moving old musicbot log

######################### PRE-RUN SANITY CHECKS PASSED #########################

[0.6669776439666748] 2022-12-23 16:14:02,284 - INFO - musicbot.config | In config.py::MainThread(140531949579080), line 250 in run_checks: Using i18n: config/i18n/kr.json
[4.5002038478851318] 2022-12-23 16:14:06,117 - INFO - musicbot.bot | In bot.py::MainThread(140531949579080), line 330 in _join_startup_channels: Found resumable voice channel 릴라가족/테트리스 중독자
[4.5005695819854736] 2022-12-23 16:14:06,118 - INFO - musicbot.bot | In bot.py::MainThread(140531949579080), line 340 in _join_startup_channels: Found owner in "테트리스 중독자"
[4.5009360313415527] 2022-12-23 16:14:06,118 - INFO - musicbot.bot | In bot.py::MainThread(140531949579080), line 351 in _join_startup_channels: Attempting to join 릴라가족/테트리스 중독자
[5.0038433074951172] 2022-12-23 16:14:06,621 - DEBUG - musicbot.bot | In bot.py::MainThread(140531949579080), line 885 in deserialize_queue: Deserializing queue for 1050752274483380289
[5.0859048366546631] 2022-12-23 16:14:06,703 - DEBUG - musicbot.bot | In bot.py::MainThread(140531949579080), line 520 in get_player: Created player via deserialization for guild 1050752274483380289 with 1 entries
[5.0879914760589600] 2022-12-23 16:14:06,705 - INFO - musicbot.bot | In bot.py::MainThread(140531949579080), line 375 in _join_startup_channels: Joined 릴라가족/테트리스 중독자
[5.0888493061065674] 2022-12-23 16:14:06,706 - DEBUG - musicbot.entry | In entry.py::MainThread(140531949579080), line 62 in get_ready_future: Created future for https://manifest.googlevideo.com/api/manifest/hls_playlist/expire/1671833220/ei/JNKlY5KGH_jN2roPq-up8A4/ip/182.222.100.18/id/rUxyKA_-grg.2/itag/96/source/yt_live_broadcast/requiressl/yes/ratebypass/yes/live/1/sgoap/gir%3Dyes%3Bitag%3D140/sgovp/gir%3Dyes%3Bitag%3D137/hls_chunk_host/rr3---sn-ab02a0nfpgxapox-bh2es.googlevideo.com/playlist_duration/30/manifest_duration/30/spc/zIddbOGL1-CLK6ch-4NfY7KMvMiRPxg/vprv/1/playlist_type/DVR/initcwndbps/1738750/mh/WZ/mm/44/mn/sn-ab02a0nfpgxapox-bh2es/ms/lva/mv/m/mvi/3/pl/22/dover/11/pacing/0/keepalive/yes/fexp/24001373,24007246/mt/1671811245/sparams/expire,ei,ip,id,itag,source,requiressl,ratebypass,live,sgoap,sgovp,playlist_duration,manifest_duration,spc,vprv,playlist_type/sig/AOq0QJ8wRQIgdtqs9nvCjqMrSf-QQ7K_rL9oQ_gP5PV5Gb0ohnS2qmoCIQCjqadaGqXFX9eDsE1UU_qqTzcbZvl0Q8-h8lTtkez8WA%3D%3D/lsparams/hls_chunk_host,initcwndbps,mh,mm,mn,ms,mv,mvi,pl/lsig/AG3C_xAwRgIhAIai42mI9ysvTWxX1W2VMgLXSJccTqPPAdt80pNC1jxmAiEAn5Q9I3qUkTqUvQNycbTqMKcB4vCourEErhI63oib3WM%3D/playlist/index.m3u8
[5.0889601707458496] 2022-12-23 16:14:06,706 - FFMPEG - musicbot.player | In player.py::MainThread(140531949579080), line 324 in _play: Creating player with options: -nostdin -vn https://manifest.googlevideo.com/api/manifest/hls_playlist/expire/1671833220/ei/JNKlY5KGH_jN2roPq-up8A4/ip/182.222.100.18/id/rUxyKA_-grg.2/itag/96/source/yt_live_broadcast/requiressl/yes/ratebypass/yes/live/1/sgoap/gir%3Dyes%3Bitag%3D140/sgovp/gir%3Dyes%3Bitag%3D137/hls_chunk_host/rr3---sn-ab02a0nfpgxapox-bh2es.googlevideo.com/playlist_duration/30/manifest_duration/30/spc/zIddbOGL1-CLK6ch-4NfY7KMvMiRPxg/vprv/1/playlist_type/DVR/initcwndbps/1738750/mh/WZ/mm/44/mn/sn-ab02a0nfpgxapox-bh2es/ms/lva/mv/m/mvi/3/pl/22/dover/11/pacing/0/keepalive/yes/fexp/24001373,24007246/mt/1671811245/sparams/expire,ei,ip,id,itag,source,requiressl,ratebypass,live,sgoap,sgovp,playlist_duration,manifest_duration,spc,vprv,playlist_type/sig/AOq0QJ8wRQIgdtqs9nvCjqMrSf-QQ7K_rL9oQ_gP5PV5Gb0ohnS2qmoCIQCjqadaGqXFX9eDsE1UU_qqTzcbZvl0Q8-h8lTtkez8WA%3D%3D/lsparams/hls_chunk_host,initcwndbps,mh,mm,mn,ms,mv,mvi,pl/lsig/AG3C_xAwRgIhAIai42mI9ysvTWxX1W2VMgLXSJccTqPPAdt80pNC1jxmAiEAn5Q9I3qUkTqUvQNycbTqMKcB4vCourEErhI63oib3WM%3D/playlist/index.m3u8
[5.0945079326629639] 2022-12-23 16:14:06,711 - DEBUG - musicbot.player | In player.py::MainThread(140531949579080), line 341 in _play: Playing <musicbot.player.SourcePlaybackCounter object at 0x7fd0218db400> using <discord.voice_client.VoiceClient object at 0x7fd021942070>
[5.1007173061370850] 2022-12-23 16:14:06,718 - DEBUG - musicbot.bot | In bot.py::MainThread(140531949579080), line 563 in on_player_play: Running on_player_play
[5.1015906333923340] 2022-12-23 16:14:06,719 - DEBUG - musicbot.bot | In bot.py::MainThread(140531949579080), line 859 in serialize_queue: Serializing queue for 1050752274483380289
[17.4479253292083740] 2022-12-23 16:14:19,065 - INFO - musicbot.bot | In bot.py::MainThread(140531949579080), line 3922 in on_message: 880806484722712626/LOURCODE#6614: !연결해제
[28.3187551498413086] 2022-12-23 16:14:29,936 - INFO - musicbot.bot | In bot.py::MainThread(140531949579080), line 3922 in on_message: 378462797207437313/연태#4448: !연결
[28.8260829448699951] 2022-12-23 16:14:30,443 - DEBUG - musicbot.bot | In bot.py::MainThread(140531949579080), line 885 in deserialize_queue: Deserializing queue for 1050752274483380289
[28.8324418067932129] 2022-12-23 16:14:30,449 - DEBUG - musicbot.bot | In bot.py::MainThread(140531949579080), line 520 in get_player: Created player via deserialization for guild 1050752274483380289 with 1 entries
[28.8326187133789062] 2022-12-23 16:14:30,450 - INFO - musicbot.bot | In bot.py::MainThread(140531949579080), line 2817 in cmd_summon: Joining 릴라가족/테트리스 중독자
[28.8345265388488770] 2022-12-23 16:14:30,451 - DEBUG - musicbot.entry | In entry.py::MainThread(140531949579080), line 62 in get_ready_future: Created future for https://manifest.googlevideo.com/api/manifest/hls_playlist/expire/1671833220/ei/JNKlY5KGH_jN2roPq-up8A4/ip/182.222.100.18/id/rUxyKA_-grg.2/itag/96/source/yt_live_broadcast/requiressl/yes/ratebypass/yes/live/1/sgoap/gir%3Dyes%3Bitag%3D140/sgovp/gir%3Dyes%3Bitag%3D137/hls_chunk_host/rr3---sn-ab02a0nfpgxapox-bh2es.googlevideo.com/playlist_duration/30/manifest_duration/30/spc/zIddbOGL1-CLK6ch-4NfY7KMvMiRPxg/vprv/1/playlist_type/DVR/initcwndbps/1738750/mh/WZ/mm/44/mn/sn-ab02a0nfpgxapox-bh2es/ms/lva/mv/m/mvi/3/pl/22/dover/11/pacing/0/keepalive/yes/fexp/24001373,24007246/mt/1671811245/sparams/expire,ei,ip,id,itag,source,requiressl,ratebypass,live,sgoap,sgovp,playlist_duration,manifest_duration,spc,vprv,playlist_type/sig/AOq0QJ8wRQIgdtqs9nvCjqMrSf-QQ7K_rL9oQ_gP5PV5Gb0ohnS2qmoCIQCjqadaGqXFX9eDsE1UU_qqTzcbZvl0Q8-h8lTtkez8WA%3D%3D/lsparams/hls_chunk_host,initcwndbps,mh,mm,mn,ms,mv,mvi,pl/lsig/AG3C_xAwRgIhAIai42mI9ysvTWxX1W2VMgLXSJccTqPPAdt80pNC1jxmAiEAn5Q9I3qUkTqUvQNycbTqMKcB4vCourEErhI63oib3WM%3D/playlist/index.m3u8
[28.8346617221832275] 2022-12-23 16:14:30,452 - FFMPEG - musicbot.player | In player.py::MainThread(140531949579080), line 324 in _play: Creating player with options: -nostdin -vn https://manifest.googlevideo.com/api/manifest/hls_playlist/expire/1671833220/ei/JNKlY5KGH_jN2roPq-up8A4/ip/182.222.100.18/id/rUxyKA_-grg.2/itag/96/source/yt_live_broadcast/requiressl/yes/ratebypass/yes/live/1/sgoap/gir%3Dyes%3Bitag%3D140/sgovp/gir%3Dyes%3Bitag%3D137/hls_chunk_host/rr3---sn-ab02a0nfpgxapox-bh2es.googlevideo.com/playlist_duration/30/manifest_duration/30/spc/zIddbOGL1-CLK6ch-4NfY7KMvMiRPxg/vprv/1/playlist_type/DVR/initcwndbps/1738750/mh/WZ/mm/44/mn/sn-ab02a0nfpgxapox-bh2es/ms/lva/mv/m/mvi/3/pl/22/dover/11/pacing/0/keepalive/yes/fexp/24001373,24007246/mt/1671811245/sparams/expire,ei,ip,id,itag,source,requiressl,ratebypass,live,sgoap,sgovp,playlist_duration,manifest_duration,spc,vprv,playlist_type/sig/AOq0QJ8wRQIgdtqs9nvCjqMrSf-QQ7K_rL9oQ_gP5PV5Gb0ohnS2qmoCIQCjqadaGqXFX9eDsE1UU_qqTzcbZvl0Q8-h8lTtkez8WA%3D%3D/lsparams/hls_chunk_host,initcwndbps,mh,mm,mn,ms,mv,mvi,pl/lsig/AG3C_xAwRgIhAIai42mI9ysvTWxX1W2VMgLXSJccTqPPAdt80pNC1jxmAiEAn5Q9I3qUkTqUvQNycbTqMKcB4vCourEErhI63oib3WM%3D/playlist/index.m3u8
[28.8403904438018799] 2022-12-23 16:14:30,457 - DEBUG - musicbot.player | In player.py::MainThread(140531949579080), line 341 in _play: Playing <musicbot.player.SourcePlaybackCounter object at 0x7fd021935a00> using <discord.voice_client.VoiceClient object at 0x7fd021a44400>
[28.8487732410430908] 2022-12-23 16:14:30,466 - DEBUG - musicbot.bot | In bot.py::MainThread(140531949579080), line 563 in on_player_play: Running on_player_play
[28.8491041660308838] 2022-12-23 16:14:30,466 - DEBUG - musicbot.bot | In bot.py::MainThread(140531949579080), line 859 in serialize_queue: Serializing queue for 1050752274483380289
[33.3369684219360352] 2022-12-23 16:14:34,954 - INFO - musicbot.bot | In bot.py::MainThread(140531949579080), line 3922 in on_message: 880806484722712626/LOURCODE#6614: !볼륨 5
[47.5601589679718018] 2022-12-23 16:14:49,177 - INFO - musicbot.bot | In bot.py::MainThread(140531949579080), line 3922 in on_message: 880806484722712626/LOURCODE#6614: !도움말
[99.4849863052368164] 2022-12-23 16:15:41,102 - INFO - musicbot.bot | In bot.py::MainThread(140531949579080), line 3922 in on_message: 880806484722712626/LOURCODE#6614: !노래방
[111.6621820926666260] 2022-12-23 16:15:53,279 - INFO - musicbot.bot | In bot.py::MainThread(140531949579080), line 3922 in on_message: 880806484722712626/LOURCODE#6614: !노래방
